type,date,Australia,Canada,China,France,Germany,Hungary,India,Japan,Mexico,Pakistan,Russia,United Kingdom,United States of America,Vietnam
cdr,2000,6.7,7.1,6.45,8.9,10.2,13.3,8.692,7.7,4.655,8.728,15.3,10.3,8.5,5.539
cdr,2001,6.6,7.1,6.43,8.8,10.1,13,8.56,7.7,4.63,8.572,15.6,10.2,8.5,5.523
cdr,2002,6.8,7.1,6.41,8.8,10.2,13.1,8.435,8.1,4.613,8.439,15.4,10.2,8.5,5.521
cdr,2003,6.6,7.2,6.4,9.1,10.3,13.4,8.316,8.4,4.601,8.328,16.4,10.2,8.4,5.528
cdr,2004,6.5,7.25,6.42,8.3,9.9,13.1,8.199,8.050859795,4.594,8.237,16,9.7,8.2,5.543
cdr,2005,6.4,7.1,6.51,8.5,10.1,13.5,8.084,8.530753759,4.592,8.161,16.1,9.6,8.3,5.565
cdr,2006,6.4,7,6.81,8.3,10,13.1,7.967,8.53,4.596,8.092,15.2,9.4,8.1,5.59
cdr,2007,6.7,7.1,6.93,8.3,10.1,13.2,7.852,8.71,4.607,8.021,14.6,9.4,8,5.619
cdr,2008,6.7,7.2,7.06,8.5,10.3,13,7.739,9.1,4.625,7.945,14.5,9.4,8.1,5.65
cdr,2009,6.5,7.1,7.08,8.5,10.4,13,7.632,9.1,4.648,7.859,14.1,9,7.9,5.68
cdr,2010,6.5,7.1,7.11,8.5,10.5,13,7.534,9.5,4.676,7.767,14.2,8.9,7.995,5.709
cdr,2011,6.6,7,7.14,8.4,10.6,12.9,7.451,9.9,4.706,7.67,13.5,8.7,8.073,5.734
cdr,2012,6.6,7.1,7.15,8.7,10.8,13,7.385,10,4.736,7.576,13.3,8.9,8.102,5.755
cdr,2013,6.4,7.2,7.16,8.7,11.1,12.8,7.339,10.1,4.766,7.489,13,9,8.215,5.774
cdr,2014,6.5,7.3,7.16,8.5,10.7,12.8,7.312,10.1,4.796,7.412,13.1,8.8,8.237,5.791
cdr,2015,6.6,7.5,7.11,8.9,11.3,13.4,7.303,10.3,4.824,7.344,13,9.2,8.44,5.806
cdr,2016,6.5,7.5,7.3,8.8,11.2,13,7.31,10.5,4.852,7.283,12.9,9.1,8.4,5.821
popt,2000,19153000,30769700,1262645000,60912500,82211508,10210971,1053050912,126843000,101719673,138523285,146596557,58892514,282162411,80285562
popt,2001,19413000,31081900,1271850000,61357430,82349925,10187576,1071477855,127149000,103067068,141601437,145976083,59119673,284968955,81139919
popt,2002,19651400,31362000,1280400000,61805267,82488495,10158608,1089807112,127445000,104355608,144654143,145306046,59370479,287625193,81956496
popt,2003,19895400,31676000,1288400000,62244886,82534176,10129552,1108027848,127718000,105640453,147703401,144648257,59647577,290107933,82747662
popt,2004,20127400,31995000,1296075000,62704895,82516260,10107146,1126135777,127761000,106995583,150780300,144067054,59987905,292805298,83527678
popt,2005,20394800,32312000,1303720000,63179351,82469422,10087065,1144118674,127773000,108472228,153909667,143518523,60401206,295516599,84308843
popt,2006,20697900,32570505,1311020000,63621381,82376451,10071370,1161977719,127854000,110092378,157093993,143049528,60846820,298379912,85094617
